"","home_team_id","away_team_id","home_team_score","away_team_score","round","home_team_name","away_team_name","home_team_points","away_team_points"
"243",8,17,2,0,16,"santos","atlético-pr",3,0
"244",18,13,2,0,16,"coritiba","vitória",3,0
"245",10,11,1,0,16,"cruzeiro","grêmio",3,0
"246",4,14,0,0,16,"bahia","criciúma",1,1
"247",12,7,0,1,16,"internacional","são paulo",0,3
"248",20,2,1,0,16,"figueirense","botafogo",3,0
"249",19,5,1,0,16,"chapecoense","fluminense",3,0
"250",20,3,1,0,24,"figueirense","corinthians",3,0
"251",2,19,1,0,17,"botafogo","chapecoense",3,0
"252",5,16,4,0,17,"fluminense","sport",3,0
"253",7,8,2,1,17,"são paulo","santos",3,0
"254",6,18,1,0,17,"palmeiras","coritiba",3,0
"255",17,4,0,0,17,"atlético-pr","bahia",1,1
"256",9,12,1,0,17,"atlético-mg","internacional",3,0
"257",13,20,0,1,17,"vitória","figueirense",0,3
"258",11,3,2,1,17,"grêmio","corinthians",3,0
"259",14,1,0,2,17,"criciúma","flamengo",0,3
"260",15,10,0,1,17,"goiás","cruzeiro",0,3
"261",2,1,2,1,31,"botafogo","flamengo",3,0
"262",2,8,1,0,18,"botafogo","santos",3,0
"263",16,14,2,0,18,"sport","criciúma",3,0
"264",3,5,1,1,18,"corinthians","fluminense",1,1
"265",6,12,0,1,18,"palmeiras","internacional",0,3
"266",5,17,2,1,31,"fluminense","atlético-pr",3,0
"267",2,9,0,0,38,"botafogo","atlético-mg",1,1
"268",18,9,0,0,18,"coritiba","atlético-mg",1,1
"269",10,19,4,2,18,"cruzeiro","chapecoense",3,0
"270",13,1,1,2,18,"vitória","flamengo",0,3
"271",7,15,3,0,31,"são paulo","goiás",3,0
"272",6,3,1,1,31,"palmeiras","corinthians",1,1
"273",16,7,1,0,38,"sport","são paulo",3,0
"274",3,14,2,1,38,"corinthians","criciúma",3,0
"275",6,17,1,1,38,"palmeiras","atlético-pr",1,1
"276",18,11,1,1,31,"coritiba","grêmio",1,1
"277",18,4,3,2,38,"coritiba","bahia",3,0
"278",10,5,2,1,38,"cruzeiro","fluminense",3,0
"279",11,4,1,0,18,"grêmio","bahia",3,0
"280",13,8,0,1,38,"vitória","santos",0,3
"281",20,7,1,1,18,"figueirense","são paulo",1,1
"282",9,16,3,2,31,"atlético-mg","sport",3,0
"283",15,17,3,1,18,"goiás","atlético-pr",3,0
"284",11,1,1,1,38,"grêmio","flamengo",1,1
"285",13,14,3,1,31,"vitória","criciúma",3,0
"286",20,12,1,2,38,"figueirense","internacional",0,3
"287",1,11,0,1,19,"flamengo","grêmio",0,3
"288",12,4,2,0,31,"internacional","bahia",3,0
"289",15,19,4,2,38,"goiás","chapecoense",3,0
"290",5,10,3,3,19,"fluminense","cruzeiro",1,1
"291",20,10,1,1,31,"figueirense","cruzeiro",1,1
"292",1,13,4,0,37,"flamengo","vitória",3,0
"293",7,16,2,0,19,"são paulo","sport",3,0
"294",8,13,3,1,19,"santos","vitória",3,0
"295",17,6,1,1,19,"atlético-pr","palmeiras",1,1
"296",5,3,5,2,37,"fluminense","corinthians",3,0
"297",9,2,1,0,19,"atlético-mg","botafogo",3,0
"298",4,18,0,0,19,"bahia","coritiba",1,1
"299",19,8,1,1,31,"chapecoense","santos",1,1
"300",12,20,2,3,19,"internacional","figueirense",0,3
"301",7,20,1,1,37,"são paulo","figueirense",1,1
"302",14,3,0,0,19,"criciúma","corinthians",1,1
"303",8,2,2,0,37,"santos","botafogo",3,0
"304",19,15,0,0,19,"chapecoense","goiás",1,1
"305",17,15,1,0,37,"atlético-pr","goiás",3,0
"306",1,19,3,0,32,"flamengo","chapecoense",3,0
"307",9,18,1,2,37,"atlético-mg","coritiba",0,3
"308",4,11,1,0,37,"bahia","grêmio",3,0
"309",2,20,0,1,35,"botafogo","figueirense",0,3
"310",16,20,1,0,32,"sport","figueirense",3,0
"311",1,18,3,2,34,"flamengo","coritiba",3,0
"312",12,6,3,1,37,"internacional","palmeiras",3,0
"313",5,2,1,0,34,"fluminense","botafogo",3,0
"314",5,19,1,4,35,"fluminense","chapecoense",0,3
"315",3,18,2,2,32,"corinthians","coritiba",1,1
"316",7,6,2,0,34,"são paulo","palmeiras",3,0
"317",14,16,2,2,37,"criciúma","sport",1,1
"318",8,10,0,1,34,"santos","cruzeiro",0,3
"319",7,12,1,1,35,"são paulo","internacional",1,1
"320",19,10,1,1,37,"chapecoense","cruzeiro",1,1
"321",17,16,0,1,34,"atlético-pr","sport",0,3
"322",9,20,1,1,34,"atlético-mg","figueirense",1,1
"323",6,16,0,2,35,"palmeiras","sport",0,3
"324",4,3,1,2,34,"bahia","corinthians",0,3
"325",8,12,1,2,32,"santos","internacional",0,3
"326",12,15,1,0,34,"internacional","goiás",3,0
"327",17,9,1,0,32,"atlético-pr","atlético-mg",3,0
"328",17,8,1,1,35,"atlético-pr","santos",1,1
"329",14,11,0,3,34,"criciúma","grêmio",0,3
"330",19,13,0,1,34,"chapecoense","vitória",0,3
"331",10,2,2,1,32,"cruzeiro","botafogo",3,0
"332",9,1,4,0,35,"atlético-mg","flamengo",3,0
"333",4,6,0,1,32,"bahia","palmeiras",0,3
"334",13,18,1,1,35,"vitória","coritiba",1,1
"335",2,17,0,2,33,"botafogo","atlético-pr",0,3
"336",11,13,1,0,32,"grêmio","vitória",3,0
"337",16,1,2,2,33,"sport","flamengo",1,1
"338",3,8,1,0,33,"corinthians","santos",3,0
"339",6,9,0,2,33,"palmeiras","atlético-mg",0,3
"340",14,7,1,2,32,"criciúma","são paulo",0,3
"341",18,5,1,0,33,"coritiba","fluminense",3,0
"342",11,10,1,2,35,"grêmio","cruzeiro",0,3
"343",15,5,0,2,32,"goiás","fluminense",0,3
"344",10,14,3,1,33,"cruzeiro","criciúma",3,0
"345",14,4,0,1,35,"criciúma","bahia",0,3
"346",15,3,0,1,35,"goiás","corinthians",0,3
"347",13,7,1,2,33,"vitória","são paulo",0,3
"348",11,12,4,1,33,"grêmio","internacional",3,0
"349",20,19,1,0,33,"figueirense","chapecoense",3,0
"350",15,4,3,0,33,"goiás","bahia",3,0
"351",1,14,1,1,36,"flamengo","criciúma",1,1
"352",1,12,2,0,30,"flamengo","internacional",3,0
